"STPSxx-SPCT Inductif_31029_20190507_093827.csv"
"Claire Julien Lafosse"
"sn :";31029
"Cadence d'enregistrement :";"3600 s"

Date;"Température (-5 +35°C) (øC)";"Profondeur 30m (m)";"Conductivité (g/l)"
"18/04/2019 17:00:00";12,58;0,78;34,52
"18/04/2019 18:00:00";12,72;0,77;34,52
"18/04/2019 19:00:00";12,82;0,77;34,52
"18/04/2019 20:00:00";12,82;0,78;34,50
"18/04/2019 21:00:00";13,53;0,82;34,63
"18/04/2019 22:00:00";13,45;0,82;34,64
"18/04/2019 23:00:00";13,40;0,82;34,64
"19/04/2019 00:00:00";13,39;0,82;34,65
"19/04/2019 01:00:00";13,42;0,85;34,64
"19/04/2019 02:00:00";13,48;0,84;34,61
"19/04/2019 03:00:00";13,56;0,85;34,57
"19/04/2019 04:00:00";13,59;0,85;34,57
"19/04/2019 05:00:00";13,57;0,85;34,56
"19/04/2019 06:00:00";13,53;0,87;34,57
"19/04/2019 07:00:00";13,52;0,87;34,56
"19/04/2019 08:00:00";13,44;0,88;34,56
"19/04/2019 09:00:00";11,95;0,88;34,54
"19/04/2019 10:00:00";11,97;0,89;34,57
"19/04/2019 11:00:00";12,04;0,89;34,58
"19/04/2019 12:00:00";12,11;0,89;34,56
"19/04/2019 13:00:00";12,27;0,90;34,54
"19/04/2019 14:00:00";12,51;0,89;34,53
"19/04/2019 15:00:00";12,85;0,89;34,51
"19/04/2019 16:00:00";13,21;0,88;34,50
"19/04/2019 17:00:00";13,54;0,88;34,48
"19/04/2019 18:00:00";13,83;0,87;34,45
"19/04/2019 19:00:00";14,06;0,87;34,44
"19/04/2019 20:00:00";14,22;0,87;34,44
"19/04/2019 21:00:00";14,44;0,91;34,44
"19/04/2019 22:00:00";14,02;0,93;34,63
"19/04/2019 23:00:00";13,94;0,96;34,61
"20/04/2019 00:00:00";13,90;0,97;34,63
"20/04/2019 01:00:00";13,86;0,96;34,64
"20/04/2019 02:00:00";13,84;0,94;34,64
"20/04/2019 03:00:00";13,85;0,96;34,62
"20/04/2019 04:00:00";13,84;0,94;34,63
"20/04/2019 05:00:00";13,80;0,96;34,63
"20/04/2019 06:00:00";13,74;0,96;34,63
"20/04/2019 07:00:00";13,59;0,97;34,61
"20/04/2019 08:00:00";13,48;0,98;34,60
"20/04/2019 09:00:00";13,18;0,98;34,41
"20/04/2019 10:00:00";12,28;0,98;34,58
"20/04/2019 11:00:00";12,44;0,98;34,58
"20/04/2019 12:00:00";12,50;0,97;34,59
"20/04/2019 13:00:00";12,58;0,99;34,58
"20/04/2019 14:00:00";12,70;0,97;34,56
"20/04/2019 15:00:00";12,92;0,96;34,56
"20/04/2019 16:00:00";13,18;0,94;34,52
"20/04/2019 17:00:00";13,42;0,93;34,51
"20/04/2019 18:00:00";13,63;0,92;34,48
"20/04/2019 19:00:00";13,83;0,90;34,46
"20/04/2019 20:00:00";14,00;0,90;34,44
"20/04/2019 21:00:00";14,09;0,90;34,45
"20/04/2019 22:00:00";14,79;0,96;34,56
"20/04/2019 23:00:00";14,68;0,96;34,57
"21/04/2019 00:00:00";14,65;0,96;34,57
"21/04/2019 01:00:00";14,65;0,97;34,57
"21/04/2019 02:00:00";14,62;0,96;34,57
"21/04/2019 03:00:00";14,51;0,96;34,58
"21/04/2019 04:00:00";14,43;0,94;34,56
"21/04/2019 05:00:00";14,17;0,94;34,51
"21/04/2019 06:00:00";13,93;0,96;34,41
"21/04/2019 07:00:00";13,71;0,94;34,41
"21/04/2019 08:00:00";13,57;0,96;34,41
"21/04/2019 09:00:00";13,46;0,94;34,41
"21/04/2019 10:00:00";13,18;0,93;34,43
"21/04/2019 11:00:00";12,99;0,94;34,50
"21/04/2019 12:00:00";13,08;0,93;34,51
"21/04/2019 13:00:00";13,17;0,93;34,50
"21/04/2019 14:00:00";13,29;0,91;34,49
"21/04/2019 15:00:00";13,44;0,89;34,46
"21/04/2019 16:00:00";13,63;0,87;34,44
"21/04/2019 17:00:00";13,83;0,86;34,42
"21/04/2019 18:00:00";14,04;0,85;34,41
"21/04/2019 19:00:00";14,23;0,82;34,39
"21/04/2019 20:00:00";14,39;0,82;34,37
"21/04/2019 21:00:00";14,51;0,81;34,36
"21/04/2019 22:00:00";14,63;0,80;34,32
"21/04/2019 23:00:00";14,87;0,80;34,29
"22/04/2019 00:00:00";15,18;0,79;34,29
"22/04/2019 01:00:00";15,38;0,82;34,32
"22/04/2019 02:00:00";15,59;0,82;34,41
"22/04/2019 03:00:00";15,56;0,81;34,44
"22/04/2019 04:00:00";15,45;0,82;34,43
"22/04/2019 05:00:00";15,33;0,82;34,43
"22/04/2019 06:00:00";15,27;0,82;34,45
"22/04/2019 07:00:00";15,22;0,79;34,46
"22/04/2019 08:00:00";15,15;0,80;34,46
"22/04/2019 09:00:00";15,11;0,80;34,45
"22/04/2019 10:00:00";15,06;0,79;34,46
"22/04/2019 11:00:00";14,55;0,82;34,46
"22/04/2019 12:00:00";14,34;0,81;34,47
"22/04/2019 13:00:00";14,42;0,80;34,41
"22/04/2019 14:00:00";14,50;0,78;34,44
"22/04/2019 15:00:00";14,60;0,77;34,43
"22/04/2019 16:00:00";14,70;0,75;34,41
"22/04/2019 17:00:00";14,80;0,75;34,40
"22/04/2019 18:00:00";14,89;0,74;34,40
"22/04/2019 19:00:00";14,96;0,73;34,39
"22/04/2019 20:00:00";15,02;0,73;34,37
"22/04/2019 21:00:00";15,07;0,70;34,35
"22/04/2019 22:00:00";15,12;0,70;34,35
"22/04/2019 23:00:00";15,09;0,70;34,34
"23/04/2019 00:00:00";15,14;0,69;34,33
"23/04/2019 01:00:00";15,34;0,70;34,33
"23/04/2019 02:00:00";15,51;0,69;34,33
"23/04/2019 03:00:00";15,59;0,68;34,36
"23/04/2019 04:00:00";15,65;0,69;34,37
"23/04/2019 05:00:00";15,65;0,69;34,38
"23/04/2019 06:00:00";15,57;0,69;34,41
"23/04/2019 07:00:00";15,48;0,70;34,43
"23/04/2019 08:00:00";15,43;0,70;34,44
"23/04/2019 09:00:00";15,40;0,70;34,45
"23/04/2019 10:00:00";15,36;0,70;34,46
"23/04/2019 11:00:00";15,35;0,72;34,46
"23/04/2019 12:00:00";15,15;0,73;34,47
"23/04/2019 13:00:00";15,03;0,73;34,49
"23/04/2019 14:00:00";15,03;0,72;34,49
"23/04/2019 15:00:00";15,04;0,72;34,48
"23/04/2019 16:00:00";15,07;0,70;34,47
"23/04/2019 17:00:00";15,09;0,70;34,47
"23/04/2019 18:00:00";15,12;0,68;34,46
"23/04/2019 19:00:00";15,13;0,68;34,46
"23/04/2019 20:00:00";15,13;0,68;34,45
"23/04/2019 21:00:00";15,14;0,69;34,46
"23/04/2019 22:00:00";15,10;0,68;34,46
